pickup_date,temp_max,temp_min,temp_mean,precip_mm,snow_mm,wind_max,weather_code,conditions
2023-10-10,18.0,7.9,13.4,0.0,0.0,19.7,3,Partly cloudy
2023-10-11,20.7,8.2,14.0,0.0,0.0,14.2,3,Partly cloudy
2023-10-12,21.1,7.2,13.8,0.0,0.0,11.0,3,Partly cloudy
2023-10-13,17.7,8.8,12.8,0.0,0.0,14.0,3,Partly cloudy
2023-10-14,11.9,9.4,10.5,15.1,0.0,16.7,63,Rainy
2023-10-15,16.7,9.5,12.1,1.2,0.0,24.8,53,Rainy
2023-10-16,17.7,7.1,11.6,0.2,0.0,19.9,51,Rainy
2023-10-17,16.9,8.2,12.2,0.6,0.0,12.1,51,Rainy
2023-10-18,17.3,6.9,12.2,0.3,0.0,8.9,51,Rainy
2023-10-19,18.1,7.2,12.7,0.0,0.0,19.6,3,Partly cloudy
2023-10-20,17.3,12.8,15.3,27.2,0.0,25.7,65,Rainy
2023-10-21,17.8,12.8,14.6,5.9,0.0,25.6,61,Rainy
2023-10-22,13.9,9.2,11.5,0.0,0.0,27.5,3,Partly cloudy
2023-10-23,16.1,7.4,10.6,0.0,0.0,22.2,3,Partly cloudy
2023-10-24,17.8,4.3,10.6,0.0,0.0,11.9,3,Partly cloudy
2023-10-25,22.1,7.8,14.3,0.0,0.0,14.7,3,Partly cloudy
2023-10-26,26.0,9.4,17.0,0.0,0.0,14.4,3,Partly cloudy
2023-10-27,24.7,12.5,17.5,0.0,0.0,14.8,3,Partly cloudy
2023-10-28,27.1,16.3,20.6,0.0,0.0,18.7,3,Partly cloudy
2023-10-29,16.3,10.7,12.8,6.9,0.0,19.2,63,Rainy
2023-10-30,19.2,10.4,13.9,2.0,0.0,25.0,53,Rainy
2023-10-31,10.6,6.7,9.2,0.2,0.0,18.1,51,Rainy
2023-11-01,9.8,3.5,6.7,3.5,0.0,23.3,53,Rainy
2023-11-02,9.7,-0.3,4.4,0.0,0.0,12.2,3,Partly cloudy
2023-11-03,13.2,0.3,6.5,0.0,0.0,17.7,1,Partly cloudy
2023-11-04,15.0,3.7,8.6,0.0,0.0,11.0,3,Partly cloudy
2023-11-05,17.1,4.5,10.4,0.0,0.0,14.8,3,Partly cloudy
2023-11-06,12.1,4.0,8.1,0.1,0.0,12.6,51,Rainy
2023-11-07,20.3,10.7,14.0,5.7,0.0,20.3,63,Rainy
2023-11-08,10.9,4.5,7.5,0.0,0.0,19.3,3,Partly cloudy
2023-11-09,15.3,2.8,9.2,0.4,0.0,12.0,51,Rainy
2023-11-10,10.8,5.7,8.2,0.3,0.0,16.3,51,Rainy
2023-11-11,12.3,4.0,7.3,0.0,0.0,18.1,3,Partly cloudy
2023-11-12,7.2,-0.2,2.9,0.0,0.0,13.3,3,Partly cloudy
2023-11-13,9.0,-2.1,3.2,0.0,0.0,13.6,3,Partly cloudy
2023-11-14,11.2,1.9,6.1,0.0,0.0,27.9,3,Partly cloudy
2023-11-15,10.9,-1.1,5.0,0.0,0.0,14.7,3,Partly cloudy
2023-11-16,17.9,1.9,8.8,0.0,0.0,10.5,3,Partly cloudy
2023-11-17,19.6,4.4,11.6,0.0,0.0,18.5,3,Partly cloudy
2023-11-18,13.2,3.5,10.0,1.2,0.0,25.9,51,Rainy
2023-11-19,12.5,1.1,6.1,0.0,0.0,20.9,1,Partly cloudy
2023-11-20,7.2,-0.9,3.2,0.0,0.0,18.7,3,Partly cloudy
2023-11-21,8.5,-1.3,3.9,7.9,0.0,29.8,61,Rainy
2023-11-22,14.5,8.3,11.2,24.7,0.0,38.3,63,Rainy
2023-11-23,11.2,5.2,8.0,0.0,0.0,20.9,3,Partly cloudy
2023-11-24,9.9,0.1,5.2,0.0,0.0,22.7,3,Partly cloudy
2023-11-25,4.3,-3.1,0.5,0.0,0.0,15.8,3,Partly cloudy
2023-11-26,10.6,-2.6,4.3,5.5,0.0,34.3,63,Rainy
2023-11-27,12.8,2.9,7.5,4.4,0.0,37.6,63,Rainy
2023-11-28,4.0,-1.8,0.9,0.1,0.07,28.9,71,Snowy
2023-11-29,2.6,-4.4,-1.2,0.0,0.0,21.0,3,Partly cloudy
2023-11-30,9.7,-2.6,3.0,0.0,0.0,17.6,3,Partly cloudy
2023-12-01,7.9,-0.2,5.0,5.3,0.0,14.3,61,Rainy
2023-12-02,16.2,4.4,8.8,0.1,0.0,16.3,51,Rainy
2023-12-03,10.2,5.8,8.6,16.2,0.0,19.1,63,Rainy
2023-12-04,10.9,4.8,7.3,0.0,0.0,21.0,3,Partly cloudy
2023-12-05,6.7,1.6,3.9,0.0,0.0,14.7,3,Partly cloudy
2023-12-06,5.1,-2.2,1.5,0.1,0.0,22.3,51,Rainy
2023-12-07,3.5,-3.3,0.2,0.0,0.0,17.5,3,Partly cloudy
2023-12-08,9.2,-2.0,3.0,0.0,0.0,11.0,3,Partly cloudy
2023-12-09,13.5,1.2,6.7,0.0,0.0,12.0,3,Partly cloudy
2023-12-10,17.0,5.1,11.8,28.1,0.0,29.2,63,Rainy
2023-12-11,14.1,2.7,5.9,26.9,0.0,35.1,65,Rainy
2023-12-12,6.3,-2.3,2.2,0.0,0.0,18.1,1,Partly cloudy
2023-12-13,7.5,0.1,3.0,0.0,0.0,18.2,0,Clear
2023-12-14,4.7,-3.2,0.5,0.0,0.0,13.1,3,Partly cloudy
